sr_no,Country,Other Names,Cuntry Code,Population,Continent,Total Cases,Total Deaths,Total�Cases//1M pop,Per M Population Deaths Cases
1,Afghanistan,Afghanistan,AFG,40462186,Asia,177827,7671,4395,190
2,Albania,Albania,ALB,2872296,Europe,273870,3492,95349,1216
3,Algeria,Algeria,DZA,45236699,Africa,265691,6874,5873,152
4,Andorra,Andorra,AND,77481,Europe,40024,153,516565,1975
5,Angola,Angola,AGO,34654212,Africa,99194,1900,2862,55
6,Anguilla,Anguilla,AIA,15237,Latin America and the Caribbean,2700,9,177200,591
7,Antigua and Barbuda,Antigua and Barbuda,ATG,99348,Latin America and the Caribbean,7493,135,75422,1359
8,Argentina,Argentina,ARG,45921761,Latin America and the Caribbean,9041124,128065,196881,2789
9,Armenia,Armenia,ARM,2972939,Asia,422574,8617,142140,2898
10,Aruba,Aruba,ABW,107560,Latin America and the Caribbean,34051,212,316577,1971
11,Australia,Australia,AUS,26017767,Oceania,4680816,6384,179908,245
12,Austria,Austria,AUT,9096360,Europe,3887355,15985,427353,1757
13,Azerbaijan,Azerbaijan,AZE,10299156,Asia,792061,9697,76905,942
14,Bahamas,Bahamas,BHM,399822,Latin America and the Caribbean,33295,788,83275,1971
15,Bahrain,Bahrain,BHR,1804995,Asia,556241,1471,308168,815
16,Bangladesh,Bangladesh,BGD,167561502,Asia,1951770,29122,11648,174
17,Barbados,Barbados,BRB,287991,Latin America and the Caribbean,59938,375,208125,1302
18,Belarus,Belarus,BLR,9443882,Europe,965322,6844,102217,725
19,Belgium,Belgium,BEL,11677924,Europe,3851048,30826,329772,2640
20,Belize,Belize,BLZ,410260,Latin America and the Caribbean,57289,656,139641,1599
21,Benin,Benin,BEN,12678649,Africa,26952,163,2126,13
22,Bermuda,Bermuda,BMU,61875,Northern America,12564,128,203055,2069
23,Bhutan,Bhutan,BTN,786480,Asia,31437,12,39972,15
24,Bolivia,Bolivia (Plurinational State of),BOL,11951714,Latin America and the Caribbean,902448,21896,75508,1832
25,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,3245097,Europe,375693,15719,115773,4844
26,Botswana,Botswana,BWA,2434708,Africa,305526,2686,125488,1103
27,Brazil,Brazil,BRA,215204501,Latin America and the Caribbean,29999816,660269,139401,3068
28,British Virgin Islands,British Virgin Islands,VGB,30583,Latin America and the Caribbean,6155,62,201256,2027
